"new_whale_long","new_whale_lat"
426893.089154631,6508685.58911669
426552.657153811,6508835.38769657
427505.140317833,6508416.27176195
426947.474214979,6508661.65834847
426582.251146347,6508822.36559405
427425.555758564,6508451.29086628
427524.207708557,6508407.88165665
427429.03285813,6508449.76085934
427414.693630019,6508456.07046266
426819.885931653,6508717.80034773
427079.293428747,6508603.65466092
427530.372741989,6508405.16889546
427355.845967956,6508481.96484466
426593.185671195,6508817.5541279
426975.232133416,6508649.4441813
427572.715498913,6508386.53707792
427588.245478627,6508379.70351909
426910.850836026,6508677.77353821
426772.622978785,6508738.59722177
427396.462340541,6508464.09266652
427433.556757994,6508447.77023527
427299.238144582,6508506.87364884
427114.979642728,6508587.95185588
427277.524679419,6508516.42809718
426548.052306801,6508837.41394542
426482.442333574,6508866.28399225
427080.581271016,6508603.08797886
427175.819021996,6508561.18104869
427299.016180405,6508506.97131843
426496.028202317,6508860.30586602
427497.979163501,6508419.42284028
426563.430051031,6508830.64735015
426993.682830157,6508641.32542134
427262.173703786,6508523.1828971
427594.090630343,6508377.13151402
427249.866338118,6508528.59843541
427007.158878848,6508635.39562909
426597.150112669,6508815.8096739
427206.195605728,6508547.81461482
427400.647275973,6508462.25119469
427190.370540543,6508554.7780273
426726.285374891,6508758.98692253
426591.528398769,6508818.28336947
426889.464537806,6508687.18403767
426779.554968202,6508735.54697391
426908.989973178,6508678.5923638
426506.265308321,6508855.80128037
427135.669243316,6508578.84792759
426595.641489187,6508816.47350619
427144.545968498,6508574.94195246
426764.43600904,6508742.1996923
426653.619297584,6508790.96181439
