"new_whale_long","new_whale_lat"
428056.747573437,6509242.65822274
427995.420358091,6509273.56233967
427929.196918114,6509306.93377783
428098.468067322,6509221.63436263
428074.923052452,6509233.499205
428022.338627335,6509259.99763786
427766.597783573,6509388.87106576
428111.644062599,6509214.99469397
428044.153649977,6509249.00457401
427739.489502105,6509402.53153071
427862.049365139,6509340.77090437
427985.288476568,6509278.66801563
427832.112811908,6509355.85659345
427987.655738316,6509277.47510082
427756.776495921,6509393.82023053
427828.435819876,6509357.7095109
428110.725428608,6509215.45761347
427800.069699959,6509372.0038256
427762.858156844,6509390.75554663
428088.283047538,6509226.76681433
427928.835138237,6509307.11608664
428006.436814709,6509268.01090723
427709.890678547,6509417.44703656
427760.175399921,6509392.10744737
427813.744367969,6509365.11285801
427845.001075013,6509349.36191338
428066.692280159,6509237.64686946
427883.527188768,6509329.94775654
428063.384969247,6509239.3134951
427845.521755295,6509349.09953111
428025.088691971,6509258.6118205
428030.306018331,6509255.98269635
428107.434941861,6509217.11576081
427999.179062117,6509271.66824682
428053.216031639,6509244.43784324
427903.258006922,6509320.0049639
428047.746830057,6509247.19389258
428030.847911554,6509255.70962458
427934.743334068,6509304.13881737
427984.864899931,6509278.88146514
427735.242962825,6509404.67145626
427979.541957101,6509281.56381213
428036.451423759,6509252.88589305
427749.53536022,6509397.4691996
427879.837892031,6509331.80687427
428007.26177785,6509267.59519035
427957.957863669,6509292.44050812
427905.510152087,6509318.87005852
428104.239654303,6509218.72593523
427746.527308455,6509398.9850237
427805.271422752,6509369.38256243
428012.804718317,6509264.801982
