"new_whale_long","new_whale_lat"
419422.616060343,6516963.84229609
419448.126185148,6516946.80450149
419462.050265958,6516937.50483665
419537.64873947,6516887.01386682
419525.70554973,6516894.99052469
419503.365164645,6516909.91129745
419435.140235049,6516955.47760469
419425.239910104,6516962.08986973
419449.987046539,6516945.5616627
419492.223152379,6516917.35286318
419569.44850603,6516865.77533322
419480.749851297,6516925.01569157
419485.897123803,6516921.57791319
419530.298804095,6516891.92276642
419461.767595333,6516937.69362771
419464.946368707,6516935.57057726
419511.537155427,6516904.45336016
419427.014669945,6516960.90453665
419570.626812433,6516864.98836209
419527.012346679,6516894.11773671
419553.627585576,6516876.34186174
419472.301833147,6516930.65798365
419523.991128518,6516896.13555814
419413.465458142,6516969.95383386
419438.628426318,6516953.14789888
419432.827887869,6516957.02198351
419437.487855822,6516953.90966723
419577.379846154,6516860.47812388
419490.991518155,6516918.17545133
419491.642145346,6516917.74090818
419562.087397632,6516870.69169449
419407.411827632,6516973.99695494
419578.582188364,6516859.67509965
419484.95464259,6516922.20738084
419565.074578091,6516868.69660657
419545.816073758,6516881.55904025
419575.406804293,6516861.79588551
419432.059729439,6516957.53502396
419432.936601623,6516956.94937538
419516.720838552,6516900.99126415
419531.845525151,6516890.88973713
419579.513839723,6516859.05286531
419485.802519821,6516921.64109763
419495.286512119,6516915.30689584
419504.771944754,6516908.97173231
419423.783710532,6516963.06244162
419527.562957169,6516893.74999311
419446.55075745,6516947.8567038
419498.441349328,6516913.19983224
419543.194502379,6516883.3099441
419547.336036227,6516880.54388264
419407.163550368,6516974.16277527
